Link,Judul,Kecamatan,Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-hitung-tanah-di-jalan-aceh-bandung-172234581649/,RUMAH HITUNG TANAH DI JALAN ACEH BANDUNG,Antapani,,5,2,110,164,Rp1.600.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-rumah-villa-di-lembang-udara-sejuk-pegunung-172232365430/,"DIJUAL RUMAH VILLA DI LEMBANG, UDARA SEJUK PEGUNUNGAN BANDUNG UTARA",Antapani,,2,2,100,588,Rp3.000.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-mewah-di-setia-budi-regency-172232218796/,Rumah mewah di setia budi regency,Antapani,2,4,3,400,472,Rp5.500.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/jual-rumah-cigadung-cikutra-172221811359/,Jual Rumah Cigadung Cikutra,Antapani,1,3,1,100,150,Rp1.500.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/jual-murah-rumah-asri-sayap-surapati-diponegoro-di-17220847156/,"Jual Murah Rumah Asri Sayap Surapati, Diponegoro, Dipatiukur",Antapani,1,3,2,220,320,Rp4.000.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-baru-shm-di-padasuka-bandung-pasir-luhur-pro-172193908585/,RUMAH BARU SHM DI PADASUKA BANDUNG PASIR LUHUR PROMO KPR TANPA DP,Antapani,2,2,2,71,72,Rp675.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/selangkah-dari-tamansari-itb-unpad-rumah-lux-murah-172191573828/,SELANGKAH DARI TAMANSARI ITB UNPAD RUMAH LUX MURAH CISITU DAGO BANDUNG,Antapani,2,3,2,92,113,Rp1.800.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/lelang-cessie-aset-properti-premium-jalan-sunda-ba-17219074121/,"lelang cessie aset properti premium jalan Sunda , Bandung",Antapani,,6,5,568,432,Rp8.000.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-rumah-strategis-dekat-alun-alun-kota-bandun-17219040146/,Dijual Rumah Strategis Dekat Alun-Alun Kota Bandung,Antapani,,4,4,170,96,Rp1.000.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-murah-lux-modern-di-dago-selangkah-ke-pusat-172189630540/,RUMAH MURAH LUX MODERN DI DAGO SELANGKAH KE PUSAT KOTA BANDUNG,Antapani,2,3,2,91,113,Rp1.800.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-rumah-indent-dipusat-kota-cimahi-dengan-aks-172188546110/,Dijual Rumah Indent Dipusat Kota Cimahi Dengan Akses Yang Mudah,Antapani,,3,2,86,103,Rp1.010.000.000
